keyword,value
hài,1
vui,1
vui vl,1
cười bể bụng,1
cười chảy nước mắt,1
hóm hĩnh,1
siêu hài,1
tếu,1
trò cười,1
trò đùa,1
cười nghiêng ngả,1
cười không ngừng,1
haha,1
lỏd,1
meme,1
hài vl,1
rất cười,1
joke,1
cười ẻ,1
bựa,1
rất hài,0.85
rất vui,0.85
rất hài hước,0.85
rất hóm hĩnh,0.85
rất tếu,0.85
rất haha,0.85
rất bựa,0.85
quá hài,0.9
quá vui,0.9
quá hài hước,0.9
quá tếu,0.9
quá haha,0.9
quá bựa,0.9
khá hài,0.8
khá vui,0.8
khá hài hước,0.8
khá vui vl,0.8
khá hóm hĩnh,0.8
khá tếu,0.8
khá bựa,0.8
cực kì hài,0.95
cực kì vui,0.95
cực kì hài hước,0.95
cực kì cười bể bụng,0.95
cực kì cười chảy nước mắt,0.95
cực kì hóm hĩnh,0.95
cực kì tếu,0.95
cực kì haha,0.95
cực kì hài vl,0.95
cực kì joke,0.95
cực kì bựa,0.95
vô cùng hài,1
vô cùng vui,1
vô cùng hài hước,1
vô cùng hóm hĩnh,1
vô cùng tếu,1
vô cùng bựa,1
hoàn toàn hài,1
hoàn toàn vui,1
hoàn toàn hài hước,1
hoàn toàn vui vl,1
hoàn toàn cười bể bụng,1
hoàn toàn cười chảy nước mắt,1
hoàn toàn hóm hĩnh,1
hoàn toàn siêu hài,1
hoàn toàn tếu,1
hoàn toàn cười nghiêng ngả,1
hoàn toàn cười không ngừng,1
hoàn toàn bựa,1
một chút hài,0.2
một chút vui,0.2
một chút hài hước,0.2
một chút vui vl,0.2
một chút hóm hĩnh,0.2
một chút tếu,0.2
một chút trò cười,0.2
chẳng hài,-1
chẳng vui,-1
chẳng hài hước,-1
chẳng cười bể bụng,-1
chẳng cười chảy nước mắt,-1
chẳng hóm hĩnh,-1
chẳng siêu hài,-1
chẳng tếu,-1
chẳng cười nghiêng ngả,-1
chẳng cười không ngừng,-1
chẳng bựa,-1
hơi hài,0.3
hơi vui,0.3
hơi hài hước,0.3
hơi hóm hĩnh,0.3
hơi siêu hài,0.3
hơi tếu,0.3
hơi haha,0.3
hơi bựa,0.3
chưa hài,-0.2
chưa vui,-0.2
chưa hài hước,-0.2
chưa vui vl,-0.2
chưa cười bể bụng,-0.2
chưa cười chảy nước mắt,-0.2
chưa hóm hĩnh,-0.2
chưa siêu hài,-0.2
chưa tếu,-0.2
chưa cười nghiêng ngả,-0.2
chưa cười không ngừng,-0.2
chưa bựa,-0.2
không hài,-0.5
không vui,-0.5
không hài hước,-0.5
không cười bể bụng,-0.5
không cười chảy nước mắt,-0.5
không hóm hĩnh,-0.5
không siêu hài,-0.5
không tếu,-0.5
không cười nghiêng ngả,-0.5
không cười không ngừng,-0.5
không bựa,-0.5
