Film name,keywords
10 Things I Hate About You,1.0 1.0
After ,1.0 1.0 1.0
500 Days of Summer,1.0 1.0 1.0
Aashiqui,1.0 1.0
Aashiqui 2,1.0 1.0 1.0
About Time,1.0 1.0
Across the Universe,1.0
An Affair to Remember,1.0 1.0
The Age of Adaline,1.0 1.0
The Age of Innocence,1.0 1.0
All That Heaven Allows,1.0 1.0
Amelie,1.0
Angel Eyes,1.0 1.0
Annie Hall,1.0
An Officer and a Gentleman,1.0
The Anonymous Venetian,0
The Artist,1.0
At Cafe 6,1.0 1.0
Autumn in New York,1.0 1.0 1.0
Band Baaja Baaraat,1.0 1.0
Be Together,1.0
Beautiful Thing,1.0
Beauty and the Beast,1.0 1.0
Before Midnight,1.0 1.0 1.0 1.0
Before Sunrise,1.0 1.0
Before Sunset,1.0 1.0
The Beloved,1.0 0.7 1.0
The Best of Me,1.0
Beyond Borders,1.0 1.0 1.0
Beyond the Lights,1.0 1.0
Big Red Envelope,0
Bitter Love,1.0
Blue is the Warmest Colour,1.0 1.0 1.0
Blue Valentine,1.0 1.0
Blood Ransom,1.0
Bobby,1.0 1.0
Bounce,1.0 1.0
The Break-up Season,1.0
Breakfast at Tiffany's,1.0 1.0 1.0
The Bridges of Madison County,1.0
Brief Encounter,1.0 0.8
Brokeback Mountain,1.0 1.0
Call Me by Your Name (film),1.0 1.0
Camille,1.0 1.0 1.0
Casablanca,1.0 1.0 1.0
Charlie St. Cloud,1.0
Chandani,1.0
Cherish in Love,0
The Choice,1.0
City Lights,1.0 1.0 1.0
City of Angels,1.0
Close Range Love,1.0 1.0 1.0
Closer,1.0 0.5 1.0 1.0
Crazy Rich Asians,1.0 1.0
Dawn Break Up,1.0 1.0
Dear John,1.0 1.0
Devdas,1.0 1.0
Different from the Others,1.0
Dil Se..,1.0 1.0 0.7
Dil To Pagal Hai,1.0
Dilwale Dulhania Le Jayenge,1.0 1.0
Dirty Dancing,1.0
Dirty Dancing: Havana Nights,1.0 0.8
Doctor Zhivago,1.0
Dying Young,1.0 1.0 1.0 1.0
The Earrings of Madame de...,1.0
Edward Scissorhands,1.0 1.0
Elemental,1.0 1.0
Endless Love,1.0
Endless Love,1.0 1.0
The Eighth House,1.0 0.5 1.0
Embrace Again,1.0 1.0
The English Patient,1.0 1.0
Eternal Sunshine of the Spotless Mind,1.0 1.0 1.0
Ex Fighting,1.0
Fall in Love Like a Star,1.0 1.0
Falling In Love,1.0 1.0
Fanaa,1.0 1.0 1.0
The Fault in Our Stars,1.0 1.0 1.0
Fifty Shades of Grey,1.0 1.0
Five Minutes to Tomorrow,1.0 1.0
Fleet of Time,1.0 1.0 1.0
Flower's Curse,1.0 1.0
Forever Love,1.0 1.0
Forever Young,1.0 1.0
Forget All Remember,0.5 1.0
Friends with Benefits,1.0 1.0 1.0
From Prada to Nada 2011,1.0
Fitoor,1.0 1.0
Five Feet Apart,1.0 1.0 1.0
The Glass Mountain,1.0 1.0
Gone with the Wind,1.0
The Goodbye Girl,1.0 1.0
Griffin and Phoenix,0
Griffin & Phoenix,1.0 1.0 1.0
Hanamizuki,1.0 1.0
Here on Earth (film),1.0 1.0 1.0
Holiday,1.0
Hello,1.0 1.0 1.0 1.0
